"game_id","play_id","posteam","defteam","play_type","desc","epa","bottom_5","top_5","outlier"
"2026_01_ARI_LAC",1433,"LAC","ARI","run","(6:29) (Shotgun) 34-K.Mitchell left tackle to LAC 37 for 2 yards (25-Z.Collins).",-0.458499374100938,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1455,"LAC","ARI","pass","(5:49) (Shotgun) 10-J.Herbert pass short right to 15-L.McConkey to ARI 49 for 14 yards (29-D.Burke).",1.4282386515988,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1480,"LAC","ARI","run","(5:12) (Shotgun) 8-O.Hampton up the middle to ARI 47 for 2 yards (51-R.Lopez).",-0.479183813673444,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1502,"LAC","ARI","pass","(4:37) (Shotgun) 10-J.Herbert pass short left to 86-O.Gadsden pushed ob at ARI 21 for 26 yards (28-A.Wingard).",2.10682589269709,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1527,"LAC","ARI","run","(4:06) (Shotgun) 34-K.Mitchell left end pushed ob at ARI 13 for 8 yards (36-K.Crawford).",0.634365435515065,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1549,"LAC","ARI","pass","(3:35) (Shotgun) 10-J.Herbert pass short middle to 83-D.Njoku to ARI 7 for 6 yards (1-Ma.Wilson).",0.278483934875112,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1574,"LAC","ARI","run","(2:57) 34-K.Mitchell right end to ARI 10 for -3 yards (28-A.Wingard).",-0.903470241639297,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1596,"LAC","ARI","pass","(2:16) (Shotgun) 10-J.Herbert pass incomplete short left to 15-L.McConkey.",-0.734630779537838,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1619,"LAC","ARI","run","(2:10) (Shotgun) 10-J.Herbert scrambles right end pushed ob at ARI 3 for 7 yards (50-J.Gibbens).",-0.748905660293531,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1641,"LAC","ARI","pass","(2:00) (Shotgun) 10-J.Herbert sacked at ARI 13 for -10 yards (55-D.Stills).",-3.21282949513989,TRUE,FALSE,TRUE
"2026_01_ARI_LAC",1668,"ARI","LAC","run","(1:55) (Shotgun) 22-T.Allgeier up the middle to ARI 21 for 8 yards (53-D.Phillips).",0.5019991484005,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1697,"ARI","LAC","pass","(1:21) (Shotgun) 7-J.Brissett pass short middle to 85-T.McBride to ARI 35 for 14 yards (3-D.James).",0.533840214135125,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1722,"ARI","LAC","pass","(1:02) (No Huddle, Shotgun) 7-J.Brissett pass short right to 14-Mi.Wilson to ARI 44 for 9 yards (26-D.Jackson).",0.300552675034851,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1781,"ARI","LAC","pass","(:32) (Shotgun) 7-J.Brissett pass short right to 14-Mi.Wilson to LAC 22 for 10 yards (26-D.Jackson).",0.436158669821452,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1806,"ARI","LAC","pass","(:26) (Shotgun) 7-J.Brissett pass incomplete short right to 85-T.McBride.",-0.512461839593016,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1836,"ARI","LAC","pass","(:21) (Shotgun) 7-J.Brissett pass short left to 17-K.Bourne to LAC 11 for 11 yards (3-D.James).",0.553984326019417,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1861,"ARI","LAC","pass","(:16) (Shotgun) 7-J.Brissett pass incomplete short left to 85-T.McBride (45-T.Tuipulotu).",-0.595926301670261,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1993,"LAC","ARI","pass","(14:55) 10-J.Herbert pass short left to 1-Q.Johnston to LAC 31 for 8 yards (25-Z.Collins).",0.744322631042451,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2018,"LAC","ARI","run","(14:16) 8-O.Hampton right end pushed ob at LAC 37 for 6 yards (3-B.Baker).",0.0289501356892288,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2040,"LAC","ARI","run","(13:38) (Shotgun) 8-O.Hampton up the middle to LAC 43 for 6 yards (1-Ma.Wilson; 51-R.Lopez).",0.235407171305269,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2109,"LAC","ARI","run","(12:57) (Shotgun) 10-J.Herbert scrambles up the middle to LAC 42 for 4 yards (52-J.Burch).",-0.4640786529053,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2131,"LAC","ARI","pass","(12:17) (Shotgun) 10-J.Herbert pass incomplete short middle to 9-T.Harris (16-M.Melton).",-1.57411813619547,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2174,"ARI","LAC","run","(12:06) 4-J.Love right tackle to ARI 12 for 2 yards (53-D.Phillips).",-0.497949591372162,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2203,"ARI","LAC","pass","(11:27) (Shotgun) 7-J.Brissett pass deep left to 18-M.Harrison to ARI 45 for 33 yards (20-C.Hart) [53-D.Phillips].",2.77394440374337,FALSE,TRUE,TRUE
"2026_01_ARI_LAC",2228,"ARI","LAC","run","(10:40) (Shotgun) 66-J.Williams reported in as eligible. 4-J.Love right end to ARI 45 for no gain (94-D.Tomlinson; 53-D.Phillips).",-0.58442894066684,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2252,"ARI","LAC","pass","(10:00) (Shotgun) 7-J.Brissett pass short left to 17-K.Bourne to LAC 42 for 13 yards (20-C.Hart).",1.34636709582992,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2277,"ARI","LAC","pass","(9:21) (Shotgun) 7-J.Brissett pass deep right to 14-Mi.Wilson pushed ob at LAC 25 for 17 yards (4-T.Still).",1.081997706322,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2302,"ARI","LAC","run","(8:48) 22-T.Allgeier right end to LAC 14 for 11 yards (99-J.Caldwell; 2-E.Molden).",0.669232377898879,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2324,"ARI","LAC","run","(8:13) 22-T.Allgeier up the middle to LAC 15 for -1 yards (52-K.Mack).",-0.847926538437605,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2346,"ARI","LAC","pass","(7:34) (Shotgun) 7-J.Brissett pass incomplete short right to 4-J.Love.",-0.782028123969212,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2369,"ARI","LAC","pass","(7:32) (Shotgun) 7-J.Brissett pass incomplete short middle to 85-T.McBride (3-D.James) [45-T.Tuipulotu].",-0.814271500842221,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2481,"LAC","ARI","run","(7:18) 8-O.Hampton right guard to ARI 10 for 2 yards (25-Z.Collins).",-0.469500589650124,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2503,"LAC","ARI","run","(6:41) 10-J.Herbert scrambles right end pushed ob at ARI 8 for 2 yards (2-W.Johnson).",-0.530734994332306,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2530,"LAC","ARI","pass","(6:07) (Shotgun) 10-J.Herbert pass short right to 15-L.McConkey for 8 yards, TOUCHDOWN.",2.60120518843178,FALSE,TRUE,TRUE
"2026_01_ARI_LAC",2596,"ARI","LAC","pass","(5:58) 7-J.Brissett pass incomplete short right to 14-Mi.Wilson.",-0.632241252809763,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2619,"ARI","LAC","pass","(5:56) (Shotgun) 7-J.Brissett pass short right to 14-Mi.Wilson to ARI 27 for 6 yards (20-C.Hart; 3-D.James).",0.0405983715318143,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2644,"ARI","LAC","pass","(5:33) (No Huddle, Shotgun) 7-J.Brissett pass short right to 14-Mi.Wilson to ARI 41 for 14 yards (20-C.Hart) [45-T.Tuipulotu]. Penalty on LAC, Defensive Too Many Men on Field, declined.",1.85618410492316,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2680,"ARI","LAC","run","(5:12) 4-J.Love right end to ARI 44 for 3 yards (0-D.Henley; 92-J.Eboigbe).",-0.241998974233866,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2702,"ARI","LAC","pass","(4:31) (Shotgun) 7-J.Brissett pass short right to 85-T.McBride to LAC 49 for 7 yards (0-D.Henley; 45-T.Tuipulotu).",0.927245445549488,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2751,"ARI","LAC","pass","(3:32) 7-J.Brissett pass incomplete short middle to 4-J.Love.",-0.639965065289289,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2781,"ARI","LAC","pass","(3:27) (No Huddle, Shotgun) 7-J.Brissett pass incomplete deep left to 18-M.Harrison.",-1.0320623437874,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2804,"ARI","LAC","pass","(3:18) (Shotgun) 7-J.Brissett pass short right to 85-T.McBride to LAC 49 for 5 yards (22-G.Smith).",-1.01741548115388,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2849,"LAC","ARI","pass","(2:37) 10-J.Herbert pass short right to 9-T.Harris pushed ob at LAC 18 for 6 yards (29-D.Burke).",0.187248965259641,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2886,"LAC","ARI","run","(2:06) 8-O.Hampton up the middle to LAC 24 for 6 yards (1-Ma.Wilson; 56-D.Robinson).",0.412012620130554,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2932,"LAC","ARI","pass","(1:05) (Shotgun) 10-J.Herbert pass incomplete short right to 9-T.Harris.",-0.666090465849265,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2955,"LAC","ARI","run","(1:03) 8-O.Hampton right end to LAC 18 for -1 yards (10-J.Sweat, 91-L.Collier).",-1.01762354047969,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",2977,"LAC","ARI","pass","(:23) (Shotgun) 10-J.Herbert pass incomplete short right to 15-L.McConkey (1-Ma.Wilson). LAC-15-L.McConkey was injured during the play.",-1.02852114057168,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3035,"ARI","LAC","run","(:11) 4-J.Love up the middle to ARI 31 for no gain (99-J.Caldwell; 53-D.Phillips).",-0.568547169445083,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3077,"ARI","LAC","pass","(15:00) (Shotgun) 7-J.Brissett pass short middle to 17-K.Bourne to ARI 36 for 5 yards (22-G.Smith).",-0.25328031857498,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3102,"ARI","LAC","pass","(14:21) (Shotgun) 7-J.Brissett pass short middle to 17-K.Bourne to ARI 40 for 4 yards (20-C.Hart). LAC-20-C.Hart was injured during the play.",-0.79735354706645,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3155,"LAC","ARI","pass","(13:55) (Shotgun) 10-J.Herbert sacked at LAC 16 for -4 yards (52-J.Burch).",-1.2873175831046,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3175,"LAC","ARI","pass","(13:13) (Shotgun) 10-J.Herbert pass short left to 9-T.Harris to LAC 19 for 3 yards (16-M.Melton; 10-J.Sweat) [54-E.Leota].",-0.44063282944262,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3200,"LAC","ARI","pass","(12:32) (Shotgun) 10-J.Herbert pass incomplete deep right to 1-Q.Johnston.",-1.14531577331945,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3261,"ARI","LAC","run","(12:21) 66-J.Williams reported in as eligible. 22-T.Allgeier up the middle to LAC 3 for no gain (93-T.Tart; 23-T.Jefferson). ** Injury Update: LAC-20-C.Hart has returned to the game.",-0.381938267382793,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3285,"ARI","LAC","pass","(11:48) (Shotgun) 7-J.Brissett pass short left to 85-T.McBride for 3 yards, TOUCHDOWN.",1.1799865840585,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3347,"LAC","ARI","pass","(11:39) (Shotgun) 10-J.Herbert pass short left to 1-Q.Johnston to LAC 25 for 9 yards (29-D.Burke).",0.809230150654912,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3372,"LAC","ARI","run","(11:13) (Shotgun) 8-O.Hampton up the middle to LAC 27 for 2 yards (51-R.Lopez; 97-W.Nolen).",-0.149919551797211,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3394,"LAC","ARI","pass","(10:33) (Shotgun) 10-J.Herbert pass short middle to 83-D.Njoku to LAC 40 for 13 yards (50-J.Gibbens; 1-Ma.Wilson).",0.637983086518943,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3419,"LAC","ARI","pass","(9:50) (Shotgun) 10-J.Herbert pass deep right intended for 12-D.Davis INTERCEPTED by 28-A.Wingard at ARI 5. 28-A.Wingard to ARI 5 for no gain (12-D.Davis). Penalty on LAC-69-C.Strange, Offensive Holding, declined.",-2.34865460090805,TRUE,FALSE,TRUE
"2026_01_ARI_LAC",3467,"ARI","LAC","run","(9:39) 22-T.Allgeier right guard to ARI 7 for 2 yards (93-T.Tart).",-0.589360890327953,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3496,"ARI","LAC","run","(9:07) 22-T.Allgeier left end to ARI 11 for 4 yards (3-D.James; 22-G.Smith).",0.117391710169613,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3518,"ARI","LAC","pass","(8:28) (Shotgun) 7-J.Brissett pass short right to 85-T.McBride to ARI 17 for 6 yards (3-D.James).",1.25957663264126,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3543,"ARI","LAC","run","(7:47) 22-T.Allgeier left end to ARI 24 for 7 yards (22-G.Smith).",0.261024783132598,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3565,"ARI","LAC","run","(7:03) 22-T.Allgeier right guard to ARI 31 for 7 yards (43-T.Dye).",0.557213853579015,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3587,"ARI","LAC","run","(6:20) 22-T.Allgeier up the middle to ARI 35 for 4 yards (99-J.Caldwell).",-0.320186435710639,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3609,"ARI","LAC","run","(5:39) 4-J.Love up the middle to ARI 39 for 4 yards (22-G.Smith).",-0.00279047386720777,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3631,"ARI","LAC","pass","(4:57) 66-J.Williams reported in as eligible. 7-J.Brissett sacked at ARI 39 for 0 yards (sack split by 43-T.Dye and 0-D.Henley).",-1.59611808508635,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",3686,"LAC","ARI","run","(4:44) (Shotgun) 10-J.Herbert scrambles left end pushed ob at LAC 31 for 11 yards (50-J.Gibbens).",0.73423968476709,FALSE,FALSE,FALSE
