"game_id","play_id","posteam","play_type","wp","shotgun","under_center","epa","desc"
"2025_11_HOU_TEN",1036,"HOU","pass",0.336542367935181,1,FALSE,-0.578358527738601,"(15:00) (Shotgun) 10-D.Mills pass incomplete short middle to 13-C.Kirk (26-M.Harris)."
"2025_11_HOU_TEN",1071,"HOU","pass",0.319329708814621,1,FALSE,-0.877982690464705,"(14:57) (Shotgun) 10-D.Mills pass short left to 12-N.Collins pushed ob at HOU 38 for 2 yards (39-D.Baker)."
"2025_11_HOU_TEN",1101,"HOU","pass",0.293965727090836,1,FALSE,-0.126854792004451,"(14:22) (Shotgun) 10-D.Mills pass short right to 14-J.Noel pushed ob at 50 for 12 yards (18-J.Armour-Davis)."
"2025_11_HOU_TEN",1160,"TEN","run",0.705133318901062,1,FALSE,-0.285992658231407,"(13:35) (Shotgun) 20-T.Pollard left tackle to TEN 16 for 2 yards (72-T.Togiai)."
"2025_11_HOU_TEN",1189,"TEN","pass",0.703274428844452,1,FALSE,1.09956980892457,"(12:58) (Shotgun) 1-C.Ward pass short left to 20-T.Pollard to TEN 25 for 9 yards (45-E.Speed)."
"2025_11_HOU_TEN",1214,"TEN","run",0.714914977550507,0,TRUE,-0.948647708864883,"(12:23) 20-T.Pollard right end to TEN 28 for 3 yards (96-D.Autry). PENALTY on TEN-70-K.Zeitler, Offensive Holding, 10 yards, enforced at TEN 26."
"2025_11_HOU_TEN",1247,"TEN","pass",0.702570378780365,1,FALSE,-0.244005671702325,"(12:01) (Shotgun) 1-C.Ward pass short left to 17-C.Dike to TEN 21 for 5 yards (25-M.Bryant)."
"2025_11_HOU_TEN",1272,"TEN","pass",0.697792887687683,1,FALSE,0.311477141454816,"(11:18) (Shotgun) 1-C.Ward pass short left to 2-T.Spears to TEN 29 for 8 yards (45-E.Speed)."
"2025_11_HOU_TEN",1321,"TEN","pass",0.670222222805023,1,FALSE,-0.8524658405222,"(10:05) (Shotgun) 1-C.Ward pass incomplete deep right to 5-E.Ayomanor. Penalty on TEN-2-T.Spears, Offensive Holding, declined."
"2025_11_HOU_TEN",1397,"HOU","pass",0.320553123950958,1,FALSE,0.38393430178985,"(9:49) (Shotgun) 10-D.Mills pass short left to 86-D.Schultz pushed ob at HOU 21 for 7 yards (33-C.Gray) [23-K.Winston]."
"2025_11_HOU_TEN",1434,"HOU","run",0.330027252435684,0,TRUE,0.434876878047362,"(9:15) 27-W.Marks left guard to HOU 27 for 6 yards (33-C.Gray)."
