"posteam","receiver_player_id","short_name","receptions","targets","red_zone_targets","team_targets","display_name","player","target_share","rank"
"CLE","00-0040466","R.Sanders",4,4,0,52,"Raheim Sanders","Raheim Sanders",0.0769230769230769,155
"CAR","00-0036555","C.Hubbard",5,5,2,66,"Chuba Hubbard","Chuba Hubbard",0.0757575757575758,156
"CAR","00-0031610","D.Waller",5,5,2,66,"Darren Waller","Darren Waller",0.0757575757575758,157
"BAL","00-0032764","D.Henry",4,4,0,53,"Derrick Henry","Derrick Henry",0.0754716981132075,158
"BAL","00-0040075","L.Wester",3,4,0,53,"LaJohntay Wester","LaJohntay Wester",0.0754716981132075,159
"LAC","00-0040189","O.Gadsden",4,4,1,53,"Oronde Gadsden II","Oronde Gadsden II",0.0754716981132075,160
"KC","00-0038104","T.Thornton",4,5,0,68,"Tyquan Thornton","Tyquan Thornton",0.0735294117647059,161
"NO","00-0033906","A.Kamara",5,6,1,84,"Alvin Kamara","Alvin Kamara",0.0714285714285714,162
"CHI","00-0036290","C.Kmet",2,4,0,56,"Cole Kmet","Cole Kmet",0.0714285714285714,163
"CHI","00-0040236","K.Monangai",4,4,1,56,"Kyle Monangai","Kyle Monangai",0.0714285714285714,164
"DEN","00-0040730","R.Harvey",4,4,0,56,"RJ Harvey","RJ Harvey",0.0714285714285714,165
"PHI","00-0034844","S.Barkley",2,4,0,56,"Saquon Barkley","Saquon Barkley",0.0714285714285714,166
"LA","00-0036244","C.Parkinson",3,4,1,57,"Colby Parkinson","Colby Parkinson",0.0701754385964912,167
"IND","00-0032951","L.Treadwell",3,4,0,59,"Laquon Treadwell","Laquon Treadwell",0.0677966101694915,168
"TEN","00-0035261","T.Pollard",2,3,0,45,"Tony Pollard","Tony Pollard",0.0666666666666667,169
"NYG","00-0040715","C.Skattebo",4,4,0,61,"Cam Skattebo","Cam Skattebo",0.0655737704918033,170
"ARI","00-0039849","M.Harrison",1,4,0,63,"Marvin Harrison Jr.","Marvin Harrison Jr.",0.0634920634920635,171
"ARI","00-0037263","T.Allgeier",4,4,1,63,"Tyler Allgeier","Tyler Allgeier",0.0634920634920635,172
"CIN","00-0038619","A.Iosivas",3,4,1,65,"Andrei Iosivas","Andrei Iosivas",0.0615384615384615,173
"CIN","00-0033526","S.Perine",4,4,0,65,"Samaje Perine","Samaje Perine",0.0615384615384615,174
"JAX","00-0040719","B.Tuten",3,3,1,49,"Bhayshul Tuten","Bhayshul Tuten",0.0612244897959184,175
"JAX","00-0034960","J.Meyers",3,3,0,49,"Jakobi Meyers","Jakobi Meyers",0.0612244897959184,176
"SEA","00-0039793","A.Barner",3,3,0,50,"AJ Barner","AJ Barner",0.06,177
"MIA","00-0041525","C.Bell",1,3,0,50,"Chris Bell","Chris Bell",0.06,178
"ATL","00-0036463","C.Blair",1,3,0,50,"Chris Blair","Chris Blair",0.06,179
"MIA","00-0041436","D.Herman",1,3,0,50,"DJ Herman","DJ Herman",0.06,180
"NO","00-0041067","B.Lance",4,5,0,84,"Bryce Lance","Bryce Lance",0.0595238095238095,181
"KC","00-0041013","E.Johnson",4,4,0,68,"Emmett Johnson","Emmett Johnson",0.0588235294117647,182
